none		CUTEXT_ENCODING_NONE
unknown		CUTEXT_ENCODING_UNKNOWN
UTF-8		CUTEXT_ENCODING_UTF8
UTF‐8		CUTEXT_ENCODING_UTF8
utf-8		CUTEXT_ENCODING_UTF8
utf‐8		CUTEXT_ENCODING_UTF8
UTF-16		CUTEXT_ENCODING_UTF16
UTF‐16		CUTEXT_ENCODING_UTF16
utf-16		CUTEXT_ENCODING_UTF16
utf‐16		CUTEXT_ENCODING_UTF16
UTF-16BE	CUTEXT_ENCODING_UTF16
UTF‐16BE	CUTEXT_ENCODING_UTF16
utf-16be	CUTEXT_ENCODING_UTF16
utf‐16be	CUTEXT_ENCODING_UTF16
UTF-16LE	CUTEXT_ENCODING_UTF16LE
UTF‐16LE	CUTEXT_ENCODING_UTF16LE
utf-16le	CUTEXT_ENCODING_UTF16LE
utf‐16le	CUTEXT_ENCODING_UTF16LE
UCS-2		CUTEXT_ENCODING_UCS2
UCS‐2		CUTEXT_ENCODING_UCS2
ucs-2		CUTEXT_ENCODING_UCS2
ucs‐2		CUTEXT_ENCODING_UCS2
UCS-2BE		CUTEXT_ENCODING_UCS2
UCS‐2BE		CUTEXT_ENCODING_UCS2
ucs-2be		CUTEXT_ENCODING_UCS2
ucs‐2be		CUTEXT_ENCODING_UCS2
UCS-2LE		CUTEXT_ENCODING_UCS2LE
UCS‐2LE		CUTEXT_ENCODING_UCS2LE
ucs-2le		CUTEXT_ENCODING_UCS2LE
ucs‐2le		CUTEXT_ENCODING_UCS2LE
UCS-4		CUTEXT_ENCODING_UCS4
UCS‐4		CUTEXT_ENCODING_UCS4
ucs-4		CUTEXT_ENCODING_UCS4
ucs‐4		CUTEXT_ENCODING_UCS4
UCS-4BE		CUTEXT_ENCODING_UCS4
UCS‐4BE		CUTEXT_ENCODING_UCS4
ucs-4be		CUTEXT_ENCODING_UCS4
ucs‐4be		CUTEXT_ENCODING_UCS4
UCS-4LE		CUTEXT_ENCODING_UCS4LE
UCS‐4LE		CUTEXT_ENCODING_UCS4LE
ucs-4le		CUTEXT_ENCODING_UCS4LE
ucs‐4le		CUTEXT_ENCODING_UCS4LE
